"Gender","Customer Type","Age","Type of Travel","Class","Flight Distance","Inflight wifi service","Departure/Arrival time convenient","Ease of Online booking","Gate location","Food and drink","Online boarding","Seat comfort","Inflight entertainment","On-board service","Leg room service","Baggage handling","Checkin service","Inflight service","Cleanliness","Departure Delay in Minutes","Arrival Delay in Minutes","satisfaction"
"Female","Loyal Customer",44,"Personal Travel","Eco Plus",1107,"2","5","2","2","3","4","1","1","1","2","1","2","1","4",42,39,"neutral or dissatisfied"
"Female","Loyal Customer",23,"Business travel","Business",868,"5","5","5","5","4","4","4","4","5","4","5","5","5","4",0,0,"satisfied"
"Female","Loyal Customer",57,"Business travel","Business",503,"2","4","4","4","1","4","4","2","2","2","2","4","2","4",0,8,"neutral or dissatisfied"
"Female","disloyal Customer",37,"Business travel","Eco",270,"0","3","0","4","2","0","2","2","4","3","3","3","3","2",14,41,"satisfied"
"Female","Loyal Customer",44,"Business travel","Eco",158,"4","5","5","5","2","1","2","4","4","4","4","2","4","3",0,6,"satisfied"
"Female","Loyal Customer",57,"Business travel","Business",1017,"3","3","3","3","3","5","5","4","4","4","4","5","4","5",0,0,"satisfied"
"Female","Loyal Customer",21,"Business travel","Eco",503,"5","3","3","3","5","5","5","5","5","2","4","5","1","5",7,0,"satisfied"
"Female","Loyal Customer",60,"Business travel","Business",1555,"5","5","5","5","5","5","5","3","2","5","5","5","3","5",223,212,"satisfied"
"Female","Loyal Customer",46,"Business travel","Business",255,"0","0","0","3","4","4","5","3","3","2","2","5","3","4",0,0,"satisfied"
"Female","Loyal Customer",39,"Business travel","Business",3307,"1","1","3","1","5","4","5","5","5","5","5","4","5","5",16,21,"satisfied"
"Female","Loyal Customer",53,"Business travel","Business",2875,"1","1","1","1","2","4","4","1","1","1","1","1","1","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",63,"Personal Travel","Eco",432,"2","5","2","3","1","2","1","1","4","3","4","4","5","1",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",39,"Business travel","Eco",650,"2","3","2","3","3","2","3","3","3","3","3","4","4","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business travel","Business",2274,"1","1","1","1","4","4","5","5","5","5","5","4","5","4",54,86,"satisfied"
"Male","Loyal Customer",44,"Business travel","Eco",743,"5","4","4","4","5","5","5","5","1","4","4","5","2","5",0,12,"satisfied"
"Male","disloyal Customer",23,"Business travel","Business",580,"5","2","5","1","4","5","4","4","5","5","5","4","5","4",19,11,"satisfied"
"Male","Loyal Customer",31,"Business travel","Business",3916,"3","3","4","3","3","4","3","3","2","1","1","4","2","3",0,2,"satisfied"
"Male","Loyal Customer",43,"Personal Travel","Eco",764,"3","5","4","2","1","4","1","1","4","2","5","3","4","1",10,37,"neutral or dissatisfied"
"Male","Loyal Customer",57,"Business travel","Business",3140,"3","5","5","5","4","3","3","3","3","3","3","3","3","4",12,0,"neutral or dissatisfied"
"Male","disloyal Customer",47,"Personal Travel","Eco",674,"3","4","3","2","4","3","4","4","4","3","4","3","5","4",16,9,"neutral or dissatisfied"
"Female","disloyal Customer",40,"Business travel","Business",1448,"3","2","2","4","1","2","1","1","4","5","3","4","3","1",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",28,"Business travel","Eco",156,"4","3","4","1","3","4","3","3","4","1","3","2","1","3",0,2,"satisfied"
"Female","Loyal Customer",52,"Business travel","Business",3177,"4","4","4","4","4","4","4","3","1","3","1","4","2","4",77,65,"satisfied"
"Male","Loyal Customer",30,"Business travel","Business",2845,"3","3","3","3","3","2","3","3","2","2","4","2","3","3",118,107,"neutral or dissatisfied"
"Male","Loyal Customer",40,"Business travel","Business",1105,"5","5","5","5","4","3","3","3","3","5","4","3","5","3",271,270,"satisfied"
"Female","Loyal Customer",46,"Personal Travel","Eco",1119,"2","5","2","4","3","5","5","1","1","2","1","3","1","4",14,21,"neutral or dissatisfied"
"Female","Loyal Customer",43,"Business travel","Business",2446,"4","4","4","4","4","4","4","3","4","4","4","4","3","4",46,108,"satisfied"
"Male","disloyal Customer",22,"Business travel","Eco",1050,"4","4","4","3","5","4","5","5","3","1","4","3","3","5",0,9,"neutral or dissatisfied"
"Female","disloyal Customer",39,"Business travel","Business",265,"3","3","3","4","3","3","1","3","4","1","4","1","4","3",23,25,"neutral or dissatisfied"
"Female","Loyal Customer",35,"Personal Travel","Business",795,"3","5","3","4","5","5","5","2","2","3","2","4","2","4",32,18,"neutral or dissatisfied"
"Female","Loyal Customer",54,"Business travel","Business",728,"3","3","3","3","3","4","4","4","4","4","4","5","4","4",0,0,"satisfied"
"Male","Loyal Customer",36,"Business travel","Business",1080,"3","3","3","3","1","1","5","2","2","2","2","5","2","1",16,31,"satisfied"
"Female","Loyal Customer",36,"Business travel","Eco Plus",590,"3","1","1","1","3","3","3","3","2","4","4","1","4","3",30,63,"neutral or dissatisfied"
"Female","disloyal Customer",48,"Business travel","Business",190,"1","1","1","5","1","1","1","1","5","3","5","3","4","1",24,20,"neutral or dissatisfied"
"Male","Loyal Customer",56,"Business travel","Eco Plus",909,"2","5","5","5","2","2","2","2","4","5","4","4","4","2",28,21,"neutral or dissatisfied"
"Male","disloyal Customer",19,"Business travel","Business",991,"4","2","4","4","5","4","3","5","4","3","5","4","4","5",91,105,"satisfied"
"Female","Loyal Customer",49,"Business travel","Business",605,"3","3","3","3","5","5","4","4","4","4","4","5","4","5",50,47,"satisfied"
"Female","Loyal Customer",59,"Business travel","Business",1562,"3","3","3","3","5","5","4","5","5","4","5","4","5","4",2,0,"satisfied"
"Female","Loyal Customer",56,"Business travel","Business",143,"3","3","3","3","3","4","1","4","4","5","3","2","4","2",0,0,"satisfied"
"Female","Loyal Customer",28,"Business travel","Eco",612,"3","3","4","3","3","3","3","3","1","5","4","2","4","3",17,11,"neutral or dissatisfied"
"Male","Loyal Customer",64,"Personal Travel","Eco",526,"2","4","2","1","3","2","3","3","5","2","4","3","4","3",0,2,"neutral or dissatisfied"
"Male","disloyal Customer",30,"Business travel","Business",929,"4","4","4","3","3","4","3","3","3","5","5","4","5","3",24,27,"satisfied"
"Male","Loyal Customer",60,"Business travel","Eco",927,"5","1","1","1","5","5","5","5","1","1","1","4","2","5",0,0,"satisfied"
"Female","Loyal Customer",24,"Business travel","Eco Plus",707,"1","3","3","3","1","1","2","1","1","3","3","2","2","1",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Business travel","Business",337,"2","0","2","2","3","2","3","3","3","5","5","4","5","3",64,55,"neutral or dissatisfied"
"Male","disloyal Customer",37,"Business travel","Eco",391,"3","0","3","4","5","3","5","5","4","4","5","1","2","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",60,"Personal Travel","Business",1927,"1","4","1","3","2","4","5","4","4","1","4","4","4","5",18,0,"neutral or dissatisfied"
"Female","Loyal Customer",64,"Personal Travel","Eco",328,"3","0","3","2","4","4","4","1","1","3","1","3","1","5",0,1,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Business travel","Business",2803,"1","3","3","3","1","1","1","1","4","5","3","2","4","1",10,14,"neutral or dissatisfied"
"Male","disloyal Customer",36,"Business travel","Eco",738,"2","2","2","3","1","2","1","1","1","1","4","4","3","1",21,10,"neutral or dissatisfied"
"Male","Loyal Customer",48,"Personal Travel","Eco",471,"2","4","2","2","1","2","1","1","4","2","5","5","5","1",14,5,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Personal Travel","Eco Plus",296,"3","4","3","2","2","3","2","2","3","3","4","4","4","2",16,11,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Business travel","Business",293,"4","4","4","4","2","4","5","5","5","5","5","3","5","3",0,0,"satisfied"
"Female","disloyal Customer",14,"Business travel","Eco",1056,"2","2","2","4","2","4","2","2","4","4","3","2","2","2",175,165,"neutral or dissatisfied"
"Female","Loyal Customer",22,"Personal Travel","Eco",127,"2","4","2","3","2","2","2","2","4","3","2","1","5","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",21,"Personal Travel","Eco",1164,"2","4","2","2","5","2","5","5","5","2","4","2","2","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",60,"Business travel","Eco",296,"4","4","4","4","2","3","3","4","4","4","4","4","4","3",51,33,"neutral or dissatisfied"
"Male","disloyal Customer",28,"Business travel","Business",2165,"2","2","2","3","4","2","2","4","3","3","4","5","5","4",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Business travel","Eco",252,"3","2","3","2","2","3","2","2","1","1","3","3","3","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",56,"Business travel","Business",1389,"5","5","5","5","4","4","5","5","5","5","5","4","5","4",0,0,"satisfied"
"Male","Loyal Customer",11,"Business travel","Business",2421,"3","2","2","2","3","3","3","3","2","2","3","2","4","3",50,91,"neutral or dissatisfied"
"Male","Loyal Customer",42,"Business travel","Business",1697,"1","1","1","1","5","5","5","3","3","4","3","5","3","3",59,55,"satisfied"
"Male","disloyal Customer",28,"Business travel","Business",646,"2","2","2","2","4","2","4","4","5","5","5","5","4","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",36,"Personal Travel","Eco",444,"2","4","2","3","4","2","4","4","4","2","5","4","4","4",12,7,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business travel","Eco Plus",888,"1","1","1","1","1","1","3","1","3","1","4","1","4","1",5,14,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Business travel","Business",3541,"4","4","4","4","2","5","2","4","4","4","4","3","4","5",5,0,"satisfied"
"Male","disloyal Customer",20,"Business travel","Business",762,"4","0","4","3","2","4","2","2","3","4","4","3","4","2",0,0,"satisfied"
"Female","Loyal Customer",41,"Personal Travel","Eco",377,"4","5","4","2","4","4","4","4","3","5","4","5","5","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Personal Travel","Eco",1129,"4","4","4","5","3","4","3","3","4","2","5","5","5","3",11,7,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Business travel","Business",109,"2","2","2","2","3","5","2","4","4","4","5","4","4","2",0,0,"satisfied"
"Male","disloyal Customer",34,"Business travel","Business",570,"1","1","1","3","2","1","4","2","4","4","4","4","5","2",0,4,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business travel","Eco",592,"4","1","1","1","2","2","2","4","4","4","4","2","4","3",1,0,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Business travel","Eco",257,"5","3","4","4","5","5","5","5","3","5","5","2","5","5",83,70,"satisfied"
"Female","Loyal Customer",25,"Business travel","Business",3785,"5","5","5","5","5","5","5","5","4","4","4","2","3","5",0,0,"satisfied"
"Female","Loyal Customer",27,"Personal Travel","Eco",333,"3","2","5","3","5","5","5","5","1","4","2","4","3","5",46,33,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business travel","Business",931,"2","2","2","2","5","4","5","2","2","2","2","4","2","4",3,0,"satisfied"
"Male","Loyal Customer",49,"Business travel","Business",2379,"5","5","5","5","2","4","5","5","5","5","5","4","5","3",0,0,"satisfied"
"Female","Loyal Customer",34,"Business travel","Business",2621,"1","1","1","1","5","4","2","5","5","5","5","2","5","3",0,17,"satisfied"
"Male","disloyal Customer",32,"Business travel","Eco",458,"3","1","3","3","5","3","5","5","2","5","2","4","2","5",24,17,"neutral or dissatisfied"
"Female","Loyal Customer",52,"Personal Travel","Eco",1874,"3","4","3","4","3","3","4","1","1","3","1","4","1","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",37,"Business travel","Business",3864,"1","1","5","1","3","1","4","5","5","5","5","4","5","1",5,13,"satisfied"
"Female","Loyal Customer",30,"Business travel","Eco Plus",834,"3","5","1","5","3","3","3","3","2","1","3","3","3","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business travel","Eco Plus",630,"2","4","4","4","2","2","2","2","1","5","3","3","3","2",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",44,"Business travel","Business",645,"3","3","3","3","2","3","2","2","3","2","4","4","5","2",10,13,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business travel","Business",328,"5","5","3","5","3","4","5","5","5","5","5","3","5","5",0,0,"satisfied"
"Female","disloyal Customer",39,"Business travel","Business",622,"2","2","2","2","4","2","4","4","4","3","3","2","2","4",47,29,"neutral or dissatisfied"
"Male","disloyal Customer",48,"Business travel","Business",1482,"5","5","5","2","2","5","2","2","3","3","5","3","4","2",121,125,"satisfied"
"Male","Loyal Customer",37,"Personal Travel","Eco",1514,"3","1","3","3","5","3","5","5","4","5","4","3","4","5",11,0,"neutral or dissatisfied"
"Female","disloyal Customer",10,"Business travel","Eco",1499,"3","3","3","4","1","3","1","1","1","2","3","3","3","1",0,4,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",2436,"5","5","5","5","5","4","4","5","5","5","5","4","5","4",0,0,"satisfied"
"Male","Loyal Customer",12,"Personal Travel","Eco",1208,"2","1","1","3","4","1","4","4","4","4","4","2","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business travel","Eco",852,"4","5","1","1","1","2","2","4","4","4","4","2","4","2",0,42,"neutral or dissatisfied"
"Female","Loyal Customer",43,"Personal Travel","Eco",991,"4","1","4","3","1","2","3","4","4","4","1","2","4","3",14,0,"neutral or dissatisfied"
"Female","Loyal Customer",53,"Business travel","Business",3055,"3","3","4","3","2","5","5","4","4","4","4","3","4","3",0,0,"satisfied"
"Male","Loyal Customer",52,"Personal Travel","Eco",173,"3","2","3","4","5","3","5","5","1","2","3","1","4","5",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",55,"Business travel","Eco",1208,"2","3","3","5","2","3","2","2","1","2","3","2","4","2",5,3,"neutral or dissatisfied"
"Female","Loyal Customer",37,"Business travel","Business",946,"1","1","1","1","4","5","4","5","5","5","5","5","5","4",12,13,"satisfied"
"Female","Loyal Customer",39,"Business travel","Business",1874,"5","5","5","5","4","4","1","4","4","4","4","2","4","3",65,59,"satisfied"
"Male","Loyal Customer",37,"Personal Travel","Eco",679,"1","2","1","3","5","1","5","5","2","2","3","1","4","5",5,0,"neutral or dissatisfied"
"Male","Loyal Customer",27,"Business travel","Business",2253,"2","2","2","2","2","2","2","2","2","3","5","4","5","2",0,0,"satisfied"
"Male","Loyal Customer",46,"Business travel","Business",2852,"3","3","4","3","4","5","5","5","5","5","5","5","5","4",0,0,"satisfied"
"Male","Loyal Customer",29,"Business travel","Business",2288,"4","3","3","3","4","4","4","1","5","2","4","4","2","4",2,10,"neutral or dissatisfied"
"Female","Loyal Customer",44,"Business travel","Business",181,"3","3","3","3","3","4","4","5","5","5","4","3","5","4",4,3,"satisfied"
"Male","Loyal Customer",42,"Personal Travel","Eco",545,"3","5","2","1","2","2","2","2","2","4","3","2","5","2",21,16,"neutral or dissatisfied"
"Male","disloyal Customer",27,"Business travel","Eco",503,"1","2","1","4","2","1","2","2","4","4","3","3","4","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",56,"Business travel","Business",3207,"3","3","3","3","4","5","4","5","5","5","5","3","5","3",14,15,"satisfied"
"Female","Loyal Customer",46,"Business travel","Business",1947,"4","4","4","4","4","5","4","4","4","4","4","3","4","4",0,0,"satisfied"
"Female","Loyal Customer",49,"Business travel","Business",258,"5","5","5","5","3","4","5","5","5","5","5","5","5","4",0,0,"satisfied"
"Male","Loyal Customer",35,"Personal Travel","Eco",453,"1","5","3","3","2","3","2","2","4","3","4","5","5","2",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Business travel","Eco",1190,"5","5","5","1","5","5","5","5","2","4","5","5","4","5",0,20,"satisfied"
"Female","disloyal Customer",32,"Business travel","Business",931,"3","3","3","2","3","3","3","3","2","2","3","4","3","3",24,6,"neutral or dissatisfied"
"Male","disloyal Customer",65,"Business travel","Business",235,"4","4","4","3","3","4","3","3","5","2","5","4","5","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",47,"Business travel","Business",2254,"5","5","5","5","3","5","5","5","5","5","5","3","5","4",0,0,"satisfied"
"Male","Loyal Customer",56,"Business travel","Business",3320,"5","5","5","5","3","4","4","5","5","5","5","4","5","4",45,54,"satisfied"
"Male","Loyal Customer",40,"Business travel","Business",391,"3","3","3","3","5","4","4","4","4","5","4","3","4","4",9,2,"satisfied"
"Male","Loyal Customer",54,"Personal Travel","Eco",748,"1","3","1","2","2","1","2","2","4","3","3","5","5","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",40,"Business travel","Business",2300,"5","5","4","5","2","3","4","4","4","4","4","4","4","4",0,0,"satisfied"
"Male","Loyal Customer",55,"Personal Travel","Eco",300,"3","4","3","1","5","3","5","5","5","4","5","4","5","5",5,0,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Business travel","Business",3351,"2","2","2","2","4","3","4","2","2","2","2","2","2","1",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",18,"Business travel","Eco",550,"4","0","4","4","4","4","4","4","5","5","4","3","4","4",0,0,"satisfied"
"Male","Loyal Customer",63,"Business travel","Business",248,"0","0","0","2","5","5","5","5","5","5","5","4","5","5",0,0,"satisfied"
"Male","Loyal Customer",49,"Business travel","Business",268,"1","5","5","5","4","2","2","1","1","1","1","3","1","4",0,8,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Personal Travel","Eco",641,"1","5","1","1","5","1","5","5","5","5","4","3","4","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",22,"Personal Travel","Eco",530,"1","4","5","1","3","5","5","3","4","5","4","3","4","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",19,"Personal Travel","Eco",1587,"3","4","3","1","4","3","4","4","3","2","5","5","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",2047,"1","1","1","1","5","5","5","5","5","5","5","4","5","3",6,0,"satisfied"
"Female","Loyal Customer",57,"Business travel","Eco",836,"2","3","3","3","1","4","3","3","3","2","3","3","3","1",13,14,"neutral or dissatisfied"
"Male","disloyal Customer",26,"Business travel","Business",632,"3","4","4","1","1","4","1","1","4","3","5","4","4","1",3,0,"neutral or dissatisfied"
"Male","Loyal Customer",21,"Business travel","Business",3455,"2","2","2","2","5","5","5","5","3","4","4","5","5","5",11,19,"satisfied"
"Male","Loyal Customer",65,"Business travel","Eco",725,"2","3","4","3","2","2","2","2","2","5","3","2","3","2",8,0,"neutral or dissatisfied"
"Female","Loyal Customer",23,"Business travel","Business",1513,"4","4","4","4","4","4","4","4","1","3","3","2","4","4",3,0,"satisfied"
"Female","Loyal Customer",44,"Personal Travel","Eco",259,"3","3","3","4","1","5","1","4","4","3","4","4","4","2",23,10,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business travel","Eco Plus",389,"3","2","2","2","3","3","3","3","2","1","4","4","3","3",54,32,"neutral or dissatisfied"
"Male","Loyal Customer",33,"Business travel","Business",2087,"3","4","4","4","1","1","3","1","2","1","3","2","3","1",30,27,"neutral or dissatisfied"
"Female","Loyal Customer",26,"Personal Travel","Eco",290,"4","4","3","4","5","3","5","5","5","5","5","4","4","5",0,0,"satisfied"
"Male","Loyal Customer",34,"Business travel","Business",89,"5","5","4","5","5","3","2","4","4","4","3","3","4","1",0,0,"satisfied"
"Male","Loyal Customer",51,"Business travel","Business",3275,"1","1","1","1","3","4","5","5","5","5","5","3","5","4",0,0,"satisfied"
"Female","disloyal Customer",38,"Business travel","Eco",100,"1","5","1","1","5","1","5","5","2","5","3","1","4","5",60,52,"neutral or dissatisfied"
"Female","Loyal Customer",43,"Business travel","Business",3684,"1","2","2","2","1","3","4","1","1","1","1","4","1","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",26,"Business travel","Eco",1173,"5","3","3","3","5","5","4","5","3","5","4","3","4","5",0,0,"satisfied"
"Female","Loyal Customer",68,"Personal Travel","Eco",2218,"3","1","3","3","2","4","3","1","1","3","1","2","1","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",29,"Personal Travel","Eco",371,"3","3","3","4","2","3","2","2","2","4","3","4","4","2",42,34,"neutral or dissatisfied"
"Male","Loyal Customer",49,"Personal Travel","Eco",895,"1","2","1","2","1","1","1","1","3","5","2","3","3","1",1,0,"neutral or dissatisfied"
"Male","Loyal Customer",70,"Personal Travel","Eco",236,"4","5","4","1","4","4","4","5","3","4","5","4","4","4",136,136,"neutral or dissatisfied"
"Female","disloyal Customer",21,"Business travel","Eco",305,"4","0","4","1","4","5","5","3","4","5","5","5","4","5",239,219,"neutral or dissatisfied"
"Male","Loyal Customer",26,"Business travel","Business",3694,"1","1","1","1","2","2","2","2","4","5","4","4","5","2",0,4,"satisfied"
"Female","disloyal Customer",40,"Business travel","Business",762,"3","3","3","4","2","3","2","2","4","4","5","4","5","2",1,0,"neutral or dissatisfied"
"Female","disloyal Customer",25,"Business travel","Eco",612,"1","4","1","3","1","3","3","1","5","3","4","3","2","3",97,161,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Business travel","Business",2567,"1","1","1","1","4","5","4","4","4","4","4","4","4","5",5,0,"satisfied"
"Female","Loyal Customer",63,"Personal Travel","Eco",861,"1","2","1","4","4","4","4","5","5","1","5","2","5","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Personal Travel","Eco",423,"2","0","2","4","1","2","1","1","5","3","4","3","5","1",34,32,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Personal Travel","Eco Plus",332,"4","1","5","3","1","5","1","1","4","2","3","1","3","1",107,96,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business travel","Business",1062,"1","1","5","1","5","5","5","2","2","2","2","3","2","3",47,41,"satisfied"
"Female","Loyal Customer",50,"Business travel","Business",404,"3","3","3","3","3","5","5","4","4","4","4","3","4","5",0,0,"satisfied"
"Female","Loyal Customer",50,"Business travel","Business",1011,"3","3","3","3","3","5","4","4","4","4","4","5","4","4",58,42,"satisfied"
"Female","Loyal Customer",61,"Personal Travel","Eco",589,"3","5","4","1","5","4","5","2","2","4","2","3","2","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",9,"Personal Travel","Eco",1197,"3","4","3","3","5","3","2","5","1","5","4","4","3","5",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",24,"Business travel","Business",859,"5","5","4","1","5","4","5","5","5","5","5","4","4","5",0,0,"satisfied"
"Female","Loyal Customer",60,"Business travel","Business",991,"1","1","1","1","3","4","4","5","5","5","5","3","5","4",4,0,"satisfied"
"Female","Loyal Customer",47,"Personal Travel","Eco",861,"2","5","2","3","5","4","5","4","4","2","4","3","4","5",100,120,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Business travel","Eco",721,"5","1","1","1","5","5","5","5","3","3","5","5","5","5",0,0,"satisfied"
"Male","Loyal Customer",58,"Business travel","Business",2364,"2","2","2","2","4","4","4","4","4","4","4","3","4","4",2,0,"satisfied"
"Male","Loyal Customer",15,"Personal Travel","Eco",562,"2","4","2","4","1","2","1","1","5","4","4","3","4","1",1,0,"neutral or dissatisfied"
"Female","Loyal Customer",41,"Business travel","Business",907,"3","3","3","3","4","5","5","4","4","4","4","5","4","4",0,8,"satisfied"
"Male","disloyal Customer",15,"Business travel","Eco",337,"3","4","3","3","2","3","2","2","3","1","3","2","3","2",27,23,"neutral or dissatisfied"
"Male","Loyal Customer",66,"Business travel","Eco Plus",707,"4","3","3","3","4","4","4","4","2","4","4","5","5","4",0,0,"satisfied"
"Female","disloyal Customer",30,"Business travel","Eco",589,"2","1","2","4","3","2","1","3","4","2","3","4","4","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",65,"Personal Travel","Eco",141,"3","2","3","4","5","3","4","3","3","3","3","2","3","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",54,"Business travel","Business",130,"4","3","3","3","3","4","4","2","2","2","4","4","2","2",28,21,"neutral or dissatisfied"
"Female","Loyal Customer",18,"Personal Travel","Business",413,"5","4","5","4","5","5","2","5","3","4","5","3","4","5",7,0,"satisfied"
"Female","disloyal Customer",38,"Business travel","Eco",337,"4","4","3","1","2","3","2","2","2","4","4","1","2","2",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Personal Travel","Eco",1179,"2","4","2","4","2","2","2","2","4","3","4","5","5","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",7,"Business travel","Eco",502,"4","3","3","4","4","4","4","4","1","2","3","2","4","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",54,"Business travel","Business",1235,"4","4","4","4","3","4","4","4","4","5","4","5","4","4",0,0,"satisfied"
"Female","Loyal Customer",52,"Business travel","Business",3731,"4","4","4","4","5","5","1","5","5","5","5","4","5","4",0,2,"satisfied"
"Female","disloyal Customer",38,"Business travel","Eco",337,"4","5","4","1","1","4","1","1","1","1","4","5","5","1",0,3,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Business travel","Business",341,"0","0","0","1","4","5","5","5","5","5","5","3","5","4",2,0,"satisfied"
"Male","Loyal Customer",33,"Personal Travel","Eco",134,"1","4","1","4","4","1","3","4","2","3","4","2","4","4",1,0,"neutral or dissatisfied"
"Female","Loyal Customer",50,"Business travel","Business",1581,"5","5","5","5","4","4","5","4","4","4","4","3","4","4",0,0,"satisfied"
"Female","disloyal Customer",25,"Business travel","Business",1023,"2","5","2","5","3","2","3","3","3","3","5","5","4","3",0,9,"neutral or dissatisfied"
"Male","disloyal Customer",37,"Business travel","Business",899,"3","3","3","4","5","3","5","5","4","4","5","5","4","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",23,"Business travel","Business",2328,"2","2","2","2","4","4","4","4","4","3","5","3","5","4",0,0,"satisfied"
"Male","Loyal Customer",58,"Business travel","Business",3957,"0","0","0","2","2","4","5","5","5","5","5","4","5","4",0,0,"satisfied"
"Female","Loyal Customer",66,"Personal Travel","Eco Plus",872,"3","4","3","3","4","1","2","5","5","3","5","4","5","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",60,"Business travel","Business",3088,"5","3","5","5","3","4","5","4","4","4","4","5","4","4",8,0,"satisfied"
"Female","Loyal Customer",29,"Business travel","Business",1235,"4","4","4","4","5","5","5","5","4","4","2","4","1","5",10,16,"satisfied"
"Female","Loyal Customer",40,"Personal Travel","Eco",488,"2","4","2","2","4","2","2","4","3","5","4","4","5","4",1,0,"neutral or dissatisfied"
"Female","Loyal Customer",44,"Business travel","Business",2039,"5","5","5","5","5","3","4","5","5","5","5","3","5","5",0,4,"satisfied"
"Male","Loyal Customer",53,"Personal Travel","Eco",448,"3","4","3","3","2","3","2","2","4","3","3","1","4","2",16,1,"neutral or dissatisfied"
"Male","Loyal Customer",51,"Personal Travel","Eco",794,"4","4","4","2","4","4","4","4","5","2","4","5","5","4",13,22,"neutral or dissatisfied"
"Male","Loyal Customer",7,"Personal Travel","Eco Plus",406,"1","5","1","2","3","1","3","3","5","4","5","5","5","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",33,"Personal Travel","Eco",214,"2","3","2","4","5","2","3","5","3","2","3","3","4","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Business travel","Business",3890,"2","2","2","2","4","4","5","4","4","4","4","3","4","4",16,0,"satisfied"
"Male","Loyal Customer",57,"Business travel","Business",2940,"1","1","4","1","4","5","4","4","4","4","4","3","4","3",2,17,"satisfied"
"Female","Loyal Customer",60,"Business travel","Business",3418,"5","5","5","5","2","5","5","3","3","3","3","5","3","3",0,0,"satisfied"
"Female","Loyal Customer",50,"Business travel","Eco",751,"4","1","1","1","5","2","4","4","4","4","4","4","4","4",0,0,"satisfied"
"Female","Loyal Customer",33,"Business travel","Business",1121,"4","4","3","4","4","5","4","5","5","5","5","3","5","4",0,0,"satisfied"
